a_id,q_id,predict_label_SFRN,next_high_class,predict_label_A,truth_label,prob_incorrect_SFRN,prob_partial_correct_SFRN,prob_correct_SFRN,prob_incorrect_A,prob_partial_correct_A,prob_correct_A
force.energy.1.358@test.com_Lab1_Q1,0,2,0,2,2,0.034805853,0.029714677,0.93547946,0.14624196,0.09111818,0.7626398
force.energy.1.640@test.com_Lab1_Q1,0,2,0,0,0,0.17521374,0.15232943,0.67245686,0.9930734,0.0057613817,0.0011652522
force.energy.1.196@test.com_Lab1_Q1,0,2,0,1,2,0.05333585,0.047781322,0.8988828,0.054578014,0.91426957,0.031152423
force.energy.1.409@test.com_Lab1_Q1,0,2,0,2,2,0.055902712,0.049306594,0.89479065,0.025140395,0.0076132677,0.9672463
force.energy.1.946@test.com_Lab1_Q1,0,2,0,2,2,0.021928169,0.01727666,0.9607952,0.032050785,0.009155875,0.9587934
force.energy.1.859@test.com_Lab1_Q1,0,2,0,2,2,0.010636183,0.007754376,0.9816095,0.026917825,0.0070793736,0.9660028
force.energy.1.103@test.com_Lab1_Q1,0,2,0,2,2,0.023154186,0.018578444,0.95826733,0.2715478,0.1837114,0.54474086
force.energy.1.484@test.com_Lab1_Q1,0,2,0,1,2,0.0308296,0.025620714,0.9435497,0.08864113,0.8904673,0.02089161
force.energy.4.664@test.com_Lab1_Q1,0,2,0,2,2,0.03405076,0.027405186,0.93854403,0.025148956,0.0057046358,0.96914643
force.energy.4.796@test.com_Lab1_Q1,0,2,0,2,2,0.011779115,0.008634283,0.97958666,0.022630265,0.0051679304,0.97220176
force.energy.4.496@test.com_Lab1_Q1,0,2,0,1,2,0.0364115,0.030989269,0.93259925,0.13001445,0.8536497,0.016335918
force.energy.4.493@test.com_Lab1_Q1,0,2,0,0,0,0.2926579,0.20432638,0.5030157,0.5215644,0.47196785,0.0064677526
pe.ke.1.931@test.com_Lab1_Q1,0,2,0,2,2,0.038226005,0.03245813,0.92931587,0.040402118,0.020162715,0.9394351
pe.ke.1.838@test.com_Lab1_Q1,0,2,0,2,2,0.030392861,0.024766294,0.94484085,0.017557204,0.00388305,0.9785598
pe.ke.1.529@test.com_Lab1_Q1,0,2,0,1,0,0.31574625,0.22923501,0.4550188,0.08950952,0.85336465,0.057125777
pe.ke.1.442@test.com_Lab1_Q1,0,2,0,2,2,0.04048474,0.035020176,0.9244951,0.0212691,0.004678429,0.9740525
pe.ke.1.853@test.com_Lab1_Q1,0,2,0,2,2,0.022878185,0.018696032,0.95842576,0.06512383,0.03149245,0.90338373
pe.ke.1.358@test.com_Lab1_Q1,0,2,0,2,2,0.013842406,0.010583201,0.9755744,0.016153112,0.0036651278,0.98018175
pe.ke.2.487@test.com_Lab1_Q1,0,2,1,2,0,0.13530321,0.1372856,0.7274112,0.05226648,0.032255445,0.91547805
pe.ke.2.112@test.com_Lab1_Q1,0,2,0,2,2,0.014023448,0.010803424,0.9751731,0.023529286,0.0066688783,0.9698018
pe.ke.2.211@test.com_Lab1_Q1,0,2,0,2,2,0.016926413,0.013303787,0.96976984,0.018153379,0.0040043173,0.97784233
pe.ke.2.607@test.com_Lab1_Q1,0,2,0,2,2,0.025163384,0.019903962,0.9549327,0.025182024,0.005803973,0.969014
pe.ke.2.562@test.com_Lab1_Q1,0,2,0,2,2,0.017056681,0.013574187,0.9693691,0.074792325,0.09703258,0.8281751
pe.ke.2.289@test.com_Lab1_Q1,0,2,0,2,2,0.032478906,0.027998883,0.93952227,0.10760892,0.19196782,0.70042324
pe.ke.2.574@test.com_Lab1_Q1,0,2,0,2,2,0.018545324,0.014592186,0.96686244,0.021959707,0.0058952547,0.97214496
pe.ke.2.274@test.com_Lab1_Q1,0,2,0,2,2,0.01691197,0.013287253,0.9698008,0.019279877,0.0046006492,0.9761195
pe.ke.2.556@test.com_Lab1_Q1,0,2,0,2,2,0.039192434,0.033766985,0.92704064,0.01658751,0.0038559951,0.97955644
pe.ke.2.355@test.com_Lab1_Q1,0,2,0,2,2,0.01277386,0.009483357,0.9777428,0.0165098,0.003752669,0.9797376
pe.ke.3.970@test.com_Lab1_Q1,0,2,0,2,2,0.021498471,0.017207688,0.9612939,0.09016638,0.06959897,0.8402347
pe.ke.4.904@test.com_Lab1_Q1,0,2,0,1,2,0.020501615,0.016455589,0.96304274,0.115990415,0.8212922,0.06271741
pe.ke.4.307@test.com_Lab1_Q1,0,2,0,2,2,0.032560114,0.027271584,0.94016826,0.35720396,0.18722726,0.45556882
pe.ke.4.841@test.com_Lab1_Q1,0,2,0,2,2,0.011345623,0.008556955,0.9800975,0.019036986,0.0046833185,0.9762797
pe.ke.4.439@test.com_Lab1_Q1,0,2,0,2,2,0.024044901,0.019702207,0.9562529,0.021497114,0.0054188403,0.97308403
pe.ke.4.109@test.com_Lab1_Q1,0,2,0,0,2,0.015159033,0.011537879,0.9733031,0.55261,0.41810536,0.029284714
pe.ke.4.583@test.com_Lab1_Q1,0,2,0,2,2,0.041603316,0.035512127,0.9228845,0.033511717,0.0092587825,0.9572295
pe.ke.4.238@test.com_Lab1_Q1,0,2,0,1,2,0.035106994,0.029788176,0.9351048,0.25976858,0.60207945,0.13815202
speed.mass.2.937@test.com_Lab1_Q1,0,2,0,1,2,0.025533134,0.021015739,0.95345116,0.13271846,0.44023335,0.42704827
speed.mass.2.991@test.com_Lab1_Q1,0,2,0,1,0,0.037168507,0.033803593,0.92902786,0.022654092,0.97278893,0.004557014
speed.mass.2.925@test.com_Lab1_Q1,0,2,0,2,2,0.01609193,0.012312121,0.97159594,0.024107063,0.007634539,0.9682584
speed.mass.2.934@test.com_Lab1_Q1,0,2,0,2,2,0.022152849,0.017459372,0.96038777,0.021149939,0.0050960733,0.973754
speed.mass.2.433@test.com_Lab1_Q1,0,2,0,2,0,0.015574784,0.011956911,0.9724683,0.019901862,0.004718862,0.9753793
speed.mass.2.874@test.com_Lab1_Q1,0,2,0,2,2,0.016232839,0.012555722,0.9712115,0.120666355,0.38783646,0.49149716
speed.mass.2.127@test.com_Lab1_Q1,0,2,0,2,2,0.053057924,0.048589494,0.89835256,0.12722714,0.15752447,0.7152484
speed.mass.2.571@test.com_Lab1_Q1,0,2,0,2,2,0.0090007,0.0064399703,0.98455936,0.024604794,0.007447367,0.9679479
speed.mass.2.574@test.com_Lab1_Q1,0,2,0,2,2,0.07345829,0.06632412,0.8602176,0.023344133,0.0060838903,0.970572
speed.mass.2.859@test.com_Lab1_Q1,0,2,0,1,2,0.015083498,0.011390145,0.97352636,0.060121235,0.8763226,0.06355615
speed.mass.2.493@test.com_Lab1_Q1,0,2,0,1,0,0.08529362,0.08269025,0.8320161,0.03644553,0.95166975,0.011884646
speed.mass.3.289@test.com_Lab1_Q1,0,2,0,2,2,0.032606944,0.02737668,0.9400163,0.040111374,0.012590893,0.9472977
speed.mass.3.106@test.com_Lab1_Q1,0,2,0,2,1,0.03218436,0.027063997,0.9407516,0.022824887,0.005253639,0.9719215
speed.mass.3.784@test.com_Lab1_Q1,0,2,0,1,2,0.013495224,0.010233227,0.9762715,0.055452418,0.88554806,0.058999494
speed.mass.3.577@test.com_Lab1_Q1,0,2,0,2,1,0.021032356,0.016774245,0.9621934,0.022552231,0.006656314,0.97079146
speed.mass.3.202@test.com_Lab1_Q1,0,2,0,2,2,0.016770199,0.012884843,0.97034496,0.021912519,0.005035519,0.97305197
speed.mass.3.736@test.com_Lab1_Q1,0,2,0,1,2,0.017668322,0.013888208,0.96844345,0.13180561,0.7362944,0.13190001
speed.mass.3.760@test.com_Lab1_Q1,0,2,0,1,2,0.026091808,0.021661503,0.9522467,0.1158292,0.7629962,0.121174656
speed.mass.3.679@test.com_Lab1_Q1,0,2,0,1,2,0.020153876,0.015919553,0.9639266,0.21334386,0.6052203,0.18143578
speed.mass.3.931@test.com_Lab1_Q1,0,2,0,0,0,0.27989334,0.24996006,0.47014657,0.98415875,0.0122033395,0.0036379092
force.energy.1.358@test.com_Lab1_Q2,1,2,1,1,1,0.20199402,0.39071172,0.40729424,0.076295316,0.9115694,0.012135362
force.energy.1.196@test.com_Lab1_Q2,1,1,2,0,2,0.12712428,0.7058612,0.16701451,0.79083276,0.20172851,0.007438771
force.energy.1.409@test.com_Lab1_Q2,1,2,1,2,2,0.14357033,0.21373273,0.6426969,0.05418516,0.017929818,0.92788506
force.energy.1.946@test.com_Lab1_Q2,1,1,2,2,1,0.18111469,0.44559613,0.37328917,0.02699597,0.0074196914,0.9655844
force.energy.1.859@test.com_Lab1_Q2,1,2,1,1,1,0.17593446,0.2848292,0.53923637,0.052900862,0.9290854,0.018013747
force.energy.1.103@test.com_Lab1_Q2,1,1,2,0,0,0.18831798,0.5180816,0.2936004,0.96073383,0.031819925,0.007446264
force.energy.1.484@test.com_Lab1_Q2,1,1,2,1,1,0.15336156,0.6032229,0.24341556,0.098747216,0.89504856,0.0062042675
force.energy.4.664@test.com_Lab1_Q2,1,1,2,1,2,0.17661904,0.51950806,0.30387288,0.045566827,0.9337458,0.020687457
force.energy.4.796@test.com_Lab1_Q2,1,2,1,1,1,0.20774771,0.30299038,0.48926198,0.12966634,0.74538296,0.12495068
force.energy.4.496@test.com_Lab1_Q2,1,2,1,0,0,0.11806991,0.1449906,0.7369395,0.65043724,0.3304801,0.019082671
force.energy.4.493@test.com_Lab1_Q2,1,1,2,1,0,0.12536336,0.7440639,0.13057268,0.13599284,0.8546914,0.009315773
pe.ke.1.931@test.com_Lab1_Q2,1,2,1,2,1,0.19617307,0.37077835,0.43304858,0.06747963,0.03599622,0.89652413
pe.ke.1.838@test.com_Lab1_Q2,1,2,1,2,2,0.096099116,0.12952738,0.77437353,0.097685575,0.1047646,0.7975498
pe.ke.1.529@test.com_Lab1_Q2,1,1,0,1,0,0.24596585,0.5475484,0.20648569,0.064947866,0.9063845,0.028667567
pe.ke.1.442@test.com_Lab1_Q2,1,1,2,0,0,0.1527162,0.6835829,0.1637009,0.5058398,0.46726778,0.0268924
pe.ke.1.853@test.com_Lab1_Q2,1,1,0,1,1,0.21772802,0.57228726,0.20998472,0.054794244,0.93327916,0.011926619
pe.ke.1.358@test.com_Lab1_Q2,1,2,1,2,1,0.15821664,0.22568704,0.61609626,0.028274598,0.009202245,0.96252316
pe.ke.2.487@test.com_Lab1_Q2,1,2,1,1,1,0.15776777,0.2778572,0.56437504,0.029738905,0.95841306,0.011848017
pe.ke.2.112@test.com_Lab1_Q2,1,1,2,2,1,0.18329194,0.48891938,0.32778865,0.11470096,0.16474126,0.72055775
pe.ke.2.211@test.com_Lab1_Q2,1,2,1,1,2,0.14278114,0.21754844,0.63967043,0.05291498,0.9056614,0.041423656
pe.ke.2.607@test.com_Lab1_Q2,1,2,1,2,0,0.13571444,0.14899847,0.7152871,0.101368874,0.04929918,0.849332
